OBJECT_NAME,OBJECT_ID,NORAD_CAT_ID,OBJECT_TYPE,OPS_STATUS_CODE,OWNER,LAUNCH_DATE,LAUNCH_SITE,DECAY_DATE,PERIOD,INCLINATION,APOGEE,PERIGEE,RCS,DATA_STATUS_CODE,ORBIT_CENTER,ORBIT_TYPE,MEAN_ALTITUDE,ORBIT_SPREAD,ALTITUDE_RATIO,HAS_DECAY_DATE,IS_OPERATIONAL,IS_DEBRIS,IS_PAYLOAD,CLUSTER,PC1,PC2,PCA_VARIANCE_SUM,AVG_NN_DISTANCE,CONGESTION_SCORE,CONGESTION_PERCENTILE,CONGESTION_CATEGORY
ISS (ZARYA),1998-067A,25544,PAY,+,ISS,1998-11-20,TYMSC,,92.97,51.63,425.0,416.0,399.0524,,EA,ORB,420.5,9.0,1.0216346153846154,0,1,0,1,0,-0.048802778952840756,0.5273515551882014,0.9892974057339385,0.0,1000000.0,82.14285714285714,High
CSS (TIANHE),2021-035A,48274,PAY,+,PRC,2021-04-29,WSC,,92.16,41.47,385.0,376.0,,,EA,ORB,380.5,9.0,1.023936170212766,0,1,0,1,0,-0.47050216290786984,-1.881181063932943,0.9892974057339385,0.0,1000000.0,82.14285714285714,High
FREGAT DEB,2011-037PF,49271,DEB,,CIS,2011-07-18,TYMSC,,116.04,51.64,2247.0,757.0,,,EA,ORB,1502.0,1490.0,2.9682959048877144,0,0,1,0,1,8.82601202942163,-0.2448068582423225,0.9892974057339385,8.854604859498524,0.11293557453235242,3.571428571428571,Low
CSS (WENTIAN),2022-085A,53239,PAY,+,PRC,2022-07-24,WSC,,92.16,41.47,385.0,376.0,,,48274,DOC,380.5,9.0,1.023936170212766,0,1,0,1,0,-0.47050216290786995,-1.8811810639329432,0.9892974057339385,0.0,1000000.0,82.14285714285714,High
CSS (MENGTIAN),2022-143A,54216,PAY,+,PRC,2022-10-31,WSC,,92.16,41.47,385.0,376.0,,,48274,DOC,380.5,9.0,1.023936170212766,0,1,0,1,0,-0.47050216290786995,-1.8811810639329432,0.9892974057339385,0.0,1000000.0,82.14285714285714,High
TIANZHOU-9,2025-149A,64786,PAY,+,PRC,2025-07-14,WSC,,92.16,41.47,385.0,376.0,,,48274,DOC,380.5,9.0,1.023936170212766,0,1,0,1,0,-0.47050216290786995,-1.8811810639329432,0.9892974057339385,0.0,1000000.0,82.14285714285714,High
PROGRESS-MS 32,2025-204A,65586,PAY,+,CIS,2025-09-11,TYMSC,,92.97,51.63,425.0,416.0,,,25544,DOC,420.5,9.0,1.0216346153846154,0,1,0,1,0,-0.04880277895284197,0.5273515551882012,0.9892974057339385,0.0,1000000.0,82.14285714285714,High
BOTAN,1998-067XQ,65943,PAY,+,JPN,1998-11-20,TYMSC,,88.33,51.61,199.0,185.0,,,EA,ORB,192.0,14.0,1.0756756756756756,0,1,0,1,0,-1.2330800385727514,0.6348883648152537,0.9892974057339385,0.6930210256708922,1.442955581436149,7.142857142857142,Low
HRC MONOBLOCK CAMERA,1998-067XR,66052,DEB,,CA,1998-11-20,TYMSC,,91.92,51.63,372.0,366.0,,,EA,ORB,369.0,6.0,1.0163934426229508,0,0,1,0,0,-0.32474553037018133,0.5533463056281068,0.9892974057339385,0.13598532807269637,7.353680433708116,35.714285714285715,Low
HTV-X1,2025-241A,66174,PAY,+,JPN,2025-10-26,TANSC,,93.95,51.64,473.0,463.0,,,EA,ORB,468.0,10.0,1.0215982721382288,0,1,0,1,0,0.20369369339674714,0.505898009083836,0.9892974057339385,0.3066155354856087,3.261402710771076,14.285714285714285,Low
