DEBRIS_NAME,DEBRIS_NORAD_CAT_ID,DEBRIS_OWNER,PAYLOAD_NAME,PAYLOAD_NORAD_CAT_ID,PAYLOAD_OWNER,FEATURE_DISTANCE,PAIR_PRIORITY_PERCENTILE
CZ-2F DEB,69673,PRC,PRC TEST SPACECRAFT 4,67689,PRC,0.0,99.97039668442865
CZ-6A DEB,65547,PRC,YAOGAN-40 03C,65546,PRC,0.0,99.97039668442865
COSMOS 1275 DEB,39959,CIS,COSMOS 1535,14679,CIS,0.0,99.97039668442865
YZ-1S DEB,43644,PRC,KINEIS-5D,62082,FR,0.0,99.97039668442865
FREGAT DEB,40078,CIS,MKA-PN 2 (RELEC),40070,CIS,0.0,99.97039668442865
COSMOS 2251 DEB,34852,CIS,COSMOS 968,10520,CIS,0.0,99.97039668442865
DMSP 5D-2 F13 DEB,40396,US,DMSP 5D-2 F8 (USA 26),18123,US,0.0,99.97039668442865
OPS 7613 (P/L 5) DEB,43191,US,TIMATION 2,4257,US,0.00045234518445147476,99.9309255970002
COSMOS 2251 DEB,33760,CIS,COSMOS 1992,19769,CIS,0.000452345184452101,99.92105782514308
COSMOS 1660 DEB,43313,CIS,COSMOS 1732,16593,CIS,0.00045234518445210273,99.91119005328596
DMSP 5D-3 F17 DEB,29524,US,OPS 9845 (DMSP 5D-2 F6),13736,US,0.0013570355533556455,99.8963883955003
DMSP 5D-2 F13 DEB,40399,US,HAIYANG-1A,27430,PRC,0.0013570355533556455,99.8963883955003
ORBCOMM FM16 DEB,44024,ORB,ORBCOMM FM13,25420,ORB,0.0014754538526068756,99.88158673771463
SL-8 DEB,24974,CIS,COSMOS 1992,19769,CIS,0.001543236934844697,99.87171896585751
COSMOS 2400 DEB,29420,CIS,COSMOS 2400,27868,CIS,0.0015432369348468706,99.8618511940004
COSMOS 1823 DEB,26601,CIS,COSMOS 1510,14521,CIS,0.0017307306938862679,99.85198342214328
COSMOS 1275 DEB,39957,CIS,COSMOS 2100,20804,CIS,0.0017307306938878252,99.84211565028616
YAOGAN-29 DEB,42673,PRC,FORMOSAT-7R (TRITON),58017,ROC,0.002334699707782951,99.83224787842904
NOAA 16 DEB,41523,US,STELLA,22824,FR,0.0027004385233868997,99.82238010657194
DMSP 5D-2 F13 DEB,40442,US,DMSP 5D-3 F18 (USA 210),35951,US,0.002714071106711291,99.81251233471482
COSMOS 1691 DEB,16271,CIS,GONETS-D1 9,27060,CIS,0.003166416291162766,99.80264456285771
COSMOS 1823 DEB,29359,CIS,COSMOS 2226,22282,CIS,0.0034678362163065527,99.79277679100059
THOR ABLESTAR DEB,38521,US,RADIATION SAT (5E-1),671,US,0.0034827513900156115,99.78290901914347
DMSP 5D-3 F19 DEB,39632,US,SKIPPER,23752,US,0.0034933016188306073,99.77304124728636
CZ-4C DEB,43261,PRC,UM5-EOSAT,60555,MA,0.0036187614756149067,99.76317347542924
DMSP 5D-2 F13 DEB,40479,US,IONOSFERA-M 1,61735,CIS,0.0037179645549866584,99.75330570357214
FENGYUN 1C DEB,46452,PRC,WEOS,27599,JPN,0.0037241399930620844,99.74343793171502
CZ-6A DEB,58202,PRC,JILIN-1 GAOFEN 03D49,54694,PRC,0.0039079916438720125,99.7335701598579
NOAA 16 DEB,41364,US,SHIYAN-3 (SY-3),33433,PRC,0.004335472791200858,99.72370238800079
NOAA 16 DEB,41429,US,CHUANGXIN 1-03 (CX-1-03),37930,PRC,0.004336757548313371,99.71383461614367
COSMOS 2251 DEB,34297,CIS,COSMOS 968,10520,CIS,0.004411239378716857,99.70396684428657
COSMOS 627 DEB,45504,CIS,COSMOS 2366,25892,CIS,0.004411785440591712,99.69409907242944
SL-8 DEB,26743,CIS,COSMOS 864,9509,CIS,0.004412580228718306,99.68423130057234
COSMOS 2251 DEB,37539,CIS,COSMOS 2056,20432,CIS,0.00441532708809231,99.67436352871522
COSMOS 1417 DEB,37865,CIS,COSMOS 1959,19324,CIS,0.004416336440638295,99.6644957568581
COSMOS 2491 DEB,57565,CIS,YUBILEINY (RS30),32953,CIS,0.0045150272348850546,99.65462798500099
DMSP 5D-3 F19 DEB,39633,US,SKIPPER,23752,US,0.005090288516294904,99.64476021314387
NOAA 16 DEB,41525,US,IDEFIX & ARIANE 42P R/B,27422,FR,0.005093829586974452,99.63489244128677
SL-24 DEB,39450,CIS,CONTINUUM-1,55045,AUS,0.005100232080860327,99.62502466942964
DMSP 5D-2 F11 DEB,28304,US,DMSP 5D-2 F11 (USA 73),21798,US,0.0054273608061674965,99.61515689757253
