OBJECT_NAME,OBJECT_TYPE,OWNER,NEIGHBOR_RANK,NEIGHBOR_NAME,NEIGHBOR_TYPE,NEIGHBOR_OWNER,FEATURE_SPACE_DISTANCE
ISS (ZARYA),PAY,ISS,1,PROGRESS-MS 33,PAY,CIS,0.0
ISS (ZARYA),PAY,ISS,2,SOYUZ-MS 28,PAY,CIS,0.0
ISS (ZARYA),PAY,ISS,3,ISS (ZARYA),PAY,ISS,0.0
ISS (ZARYA),PAY,ISS,4,CREW DRAGON 12,PAY,US,0.0
CSS (TIANHE),PAY,PRC,1,SHENZHOU-22,PAY,PRC,0.0
CSS (TIANHE),PAY,PRC,2,CSS (WENTIAN),PAY,PRC,0.0
CSS (TIANHE),PAY,PRC,3,CSS (MENGTIAN),PAY,PRC,0.0
CSS (TIANHE),PAY,PRC,4,TIANZHOU-9,PAY,PRC,0.0
FREGAT DEB,DEB,CIS,1,HTV-X1,PAY,JPN,8.671400024538634
FREGAT DEB,DEB,CIS,2,SOYUZ-MS 28,PAY,CIS,8.915673137818485
FREGAT DEB,DEB,CIS,3,ISS (ZARYA),PAY,ISS,8.915673137818485
FREGAT DEB,DEB,CIS,4,PROGRESS-MS 32,PAY,CIS,8.915673137818485
CSS (WENTIAN),PAY,PRC,1,SHENZHOU-22,PAY,PRC,0.0
CSS (WENTIAN),PAY,PRC,2,CSS (WENTIAN),PAY,PRC,0.0
CSS (WENTIAN),PAY,PRC,3,CSS (MENGTIAN),PAY,PRC,0.0
CSS (WENTIAN),PAY,PRC,4,TIANZHOU-9,PAY,PRC,0.0
CSS (MENGTIAN),PAY,PRC,1,SHENZHOU-22,PAY,PRC,0.0
CSS (MENGTIAN),PAY,PRC,2,CSS (WENTIAN),PAY,PRC,0.0
CSS (MENGTIAN),PAY,PRC,3,CSS (MENGTIAN),PAY,PRC,0.0
CSS (MENGTIAN),PAY,PRC,4,TIANZHOU-9,PAY,PRC,0.0
TIANZHOU-9,PAY,PRC,1,SHENZHOU-22,PAY,PRC,0.0
TIANZHOU-9,PAY,PRC,2,CSS (WENTIAN),PAY,PRC,0.0
TIANZHOU-9,PAY,PRC,3,CSS (MENGTIAN),PAY,PRC,0.0
TIANZHOU-9,PAY,PRC,4,TIANZHOU-9,PAY,PRC,0.0
PROGRESS-MS 32,PAY,CIS,1,PROGRESS-MS 33,PAY,CIS,0.0
PROGRESS-MS 32,PAY,CIS,2,SOYUZ-MS 28,PAY,CIS,0.0
PROGRESS-MS 32,PAY,CIS,3,ISS (ZARYA),PAY,ISS,0.0
PROGRESS-MS 32,PAY,CIS,4,CREW DRAGON 12,PAY,US,0.0
BOTAN,PAY,JPN,1,SILVERSAT,PAY,US,0.4898191693443455
BOTAN,PAY,JPN,2,ISS OBJECT XU,PAY,TBD,0.7374989773218888
BOTAN,PAY,JPN,3,ISS OBJECT XT,PAY,TBD,0.7390023867198553
BOTAN,PAY,JPN,4,ISS OBJECT XW,PAY,TBD,0.8057635692974794
HRC MONOBLOCK CAMERA,DEB,CA,1,ISS OBJECT XY,PAY,TBD,0.10911141626415875
HRC MONOBLOCK CAMERA,DEB,CA,2,CORAL,PAY,IT,0.11403188663250612
HRC MONOBLOCK CAMERA,DEB,CA,3,DUPLEX,PAY,US,0.14615212657479004
HRC MONOBLOCK CAMERA,DEB,CA,4,UITMSAT-2,PAY,MALA,0.17464588281933052
HTV-X1,PAY,JPN,1,PROGRESS-MS 32,PAY,CIS,0.3066155354856087
HTV-X1,PAY,JPN,2,SOYUZ-MS 28,PAY,CIS,0.3066155354856087
HTV-X1,PAY,JPN,3,CREW DRAGON 12,PAY,US,0.3066155354856087
HTV-X1,PAY,JPN,4,ISS (ZARYA),PAY,ISS,0.3066155354856087
SZ-21 MODULE,DEB,PRC,1,CSS (TIANHE),PAY,PRC,0.16887347783150947
SZ-21 MODULE,DEB,PRC,2,CSS (WENTIAN),PAY,PRC,0.16887347783150947
SZ-21 MODULE,DEB,PRC,3,TIANZHOU-9,PAY,PRC,0.16887347783150947
SZ-21 MODULE,DEB,PRC,4,CSS (MENGTIAN),PAY,PRC,0.16887347783150947
SHENZHOU-22,PAY,PRC,1,SHENZHOU-22,PAY,PRC,0.0
SHENZHOU-22,PAY,PRC,2,CSS (WENTIAN),PAY,PRC,0.0
