OWNER,N_OBJECTS,N_PAYLOADS,N_DEBRIS,MEDIAN_CONGESTION_SCORE,MEAN_CONGESTION_SCORE,MAX_CONGESTION_SCORE
US,15798,12602,2952,100.0,74.65413064837391,100.0
PRC,5485,1323,3966,31.907051844571587,33.31862962477193,100.0
CIS,4844,1219,3100,25.723963635087227,27.81776146726659,62.00989855733792
UK,704,703,0,100.0,91.79016263055279,100.0
TBD,231,213,0,55.154621081821055,48.91926845312363,61.939696023026436
FR,168,105,42,38.49204956298922,33.44950181272972,60.4478921689073
JPN,160,128,12,37.4934185124083,31.61520674646355,59.34571238021693
IND,119,59,35,28.442556776299625,29.70673333744323,60.911228895363124
IT,85,85,0,52.750184281652565,49.1940542582999,100.0
GER,74,74,0,41.45459651093404,41.51441096753322,100.0
GLOB,74,73,1,14.991751202218401,38.94675327509053,100.0
ORB,66,59,7,48.6959879251641,39.596782171109105,59.335182000070205
SKOR,61,57,0,47.274386605356455,42.61990103744384,58.88588578047668
CA,51,47,4,46.71276633086455,42.01353257087875,61.76418968724771
SPN,45,45,0,52.83091719611078,50.60510684435708,100.0
ESA,40,32,8,36.76682228228439,37.293429042788446,57.28877812489031
ROC,33,33,0,49.696374039102814,40.58621243499618,60.97792130295904
TURK,32,32,0,51.26891080768016,47.53106462143283,59.938923795149
ARGN,29,29,0,50.107058864825014,46.03422252508833,61.939696023026436
FIN,29,29,0,50.078977851100426,45.66541714224849,60.25132507283513
AUS,29,29,0,47.33405875952122,41.79895204561712,56.695566709958236
SING,20,20,0,11.937940959668644,24.071044964723225,60.45140229562287
NOR,19,19,0,44.083681420899296,44.74709537014286,60.03018708975394
SAUD,17,17,0,25.974937695250798,29.893065022000233,57.481835094246904
UAE,15,15,0,51.942855137070445,48.47508395053061,60.296956720137594
IRAN,15,10,0,3.4118431675383483,18.231832169141306,56.393695812418834
GREC,14,14,0,59.16845098108041,57.31861420197269,61.49039980343291
ISRA,14,14,0,56.37614517884095,46.031300301369455,58.34883639299379
POL,13,13,0,55.98652111341219,51.66663516552948,61.388606128681246
LUXE,12,12,0,48.05538979957176,37.897083084699354,59.398364280950545
CHBZ,12,5,7,33.911334199164585,36.69340213181696,52.79932605567061
BEL,10,10,0,48.04836954614061,49.47137491663449,60.06528835690968
