DATASET,K,SILHOUETTE_SCORE,INERTIA,N_RECORDS
Real 30-record pilot sample,2,0.45114177472065803,79.51983213179909,30
Real 30-record pilot sample,3,0.4191981054393496,57.691960474537254,30
Real 30-record pilot sample,4,0.4517255218891958,37.57488791476635,30
Real 30-record pilot sample,5,0.46282342663877624,26.014669065368718,30
Real 30-record pilot sample,6,0.4328132181787273,20.5012335938407,30
Full real LEO catalogue,2,0.4321999028087859,86811.75684029338,28489
Full real LEO catalogue,3,0.4514548823745748,56787.4735358842,28489
Full real LEO catalogue,4,0.4990775531994719,38928.9157076046,28489
Full real LEO catalogue,5,0.5178846342173363,30032.701688386194,28489
Full real LEO catalogue,6,0.5133397179928713,24266.07409350234,28489
Full real LEO catalogue,7,0.514369387195458,21079.62495791265,28489
Full real LEO catalogue,8,0.5139135307508165,18965.702215771325,28489
